[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-16T07:58:31.645Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:58:31.664Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:58:32.128Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:59:31.661Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:59:31.670Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:59:31.672Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:00:31.958Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:00:32.060Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:00:32.500Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:01:31.652Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:01:31.667Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:01:32.164Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:02:31.641Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:02:31.658Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:02:32.060Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:03:31.967Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:03:32.077Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:03:32.516Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:04:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:04:31.655Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:04:32.079Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:05:31.654Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:05:31.672Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:05:32.169Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:06:31.967Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:06:32.033Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:06:32.755Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:07:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:07:31.667Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:07:32.227Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:08:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:08:31.676Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:08:32.197Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:09:31.965Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:09:31.966Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:09:32.344Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:10:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:10:31.660Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:10:32.094Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:11:31.655Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:11:31.656Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:11:32.083Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:12:31.972Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:12:32.114Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:12:32.560Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:13:31.649Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:13:31.654Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:13:32.116Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:14:31.656Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:14:31.657Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:14:32.140Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:15:31.955Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:15:31.956Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:15:32.464Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:16:31.647Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:16:31.652Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:16:32.134Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:17:31.649Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:17:31.650Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:17:31.664Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:18:31.966Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:18:31.967Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:18:32.503Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:19:31.656Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:19:31.695Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:19:32.169Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:20:31.648Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:20:31.649Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
